# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  F560Wmag  F770Wmag  F1000Wmag  F1130Wmag  F1280Wmag  F1500Wmag  F1800Wmag  F2100Wmag  F2550Wmag
0.0152 0.01508 8.04003 5.1179866791 2.6146602631    4.820  4.420  3.4963 -0.362    8  0.882  0.390   643.35   245.14   152.78   116.90    96.75  2  -9.4e-06      0.29 6.163e-01 3.683e-01 1.570e-03 3.368e-03 5.373e-03 -1.000 1.534e-02 -6.281 -10.242 -10.580 -12.123 -12.513 -12.463 -12.441 -12.545 -12.569 -12.697
0.0152 0.01508 8.04003 5.1179986000 2.6146602631    4.813  4.435  3.4941 -0.387    8  0.882  0.387   685.40   256.28   159.39   122.05   101.02  2 -1.11e-05      0.35 6.163e-01 3.683e-01 1.561e-03 3.380e-03 5.373e-03 -1.000 1.534e-02 -6.319 -10.367 -10.728 -12.312 -12.705 -12.661 -12.646 -12.755 -12.783 -12.911
0.0152 0.01508 8.04003 5.1180138588 2.6146602631    4.804  4.444  3.4927 -0.402    8  0.882  0.385   711.79   263.10   163.44   125.20   103.63  2 -1.22e-05      0.38 6.163e-01 3.684e-01 1.549e-03 3.396e-03 5.372e-03 -1.000 1.535e-02 -6.340 -10.440 -10.814 -12.423 -12.817 -12.777 -12.767 -12.879 -12.908 -13.037
0.0152 0.01508 8.04003 5.1180324554 2.6146605015    4.793  4.450  3.4917 -0.413    8  0.883  0.381   732.49   268.36   166.55   127.63   105.65  2 -1.31e-05      0.41 6.163e-01 3.684e-01 1.535e-03 3.415e-03 5.372e-03 -1.000 1.535e-02 -6.355 -10.493 -10.876 -12.503 -12.899 -12.862 -12.855 -12.969 -13.000 -13.129
0.0152 0.01508 8.04003 5.1180558205 2.6146605015    4.780  4.456  3.4908 -0.423    8  0.883  0.375   752.25   273.30   169.47   129.91   107.54  2  -1.4e-05      0.43 6.163e-01 3.684e-01 1.516e-03 3.439e-03 5.371e-03 -1.000 1.536e-02 -6.370 -10.544 -10.937 -12.584 -12.981 -12.947 -12.943 -13.059 -13.092 -13.221
0.0152 0.01508 8.04003 5.1180558205 2.6146605015    4.779  4.651  3.4638 -0.726    8  0.883  0.376  1701.93   472.29   285.73   220.82   183.03  2 -0.000107      3.79 6.163e-01 3.684e-01 1.516e-03 3.440e-03 5.371e-03 -1.000 1.536e-02 -6.856 -12.345 -12.933 -14.144 -14.485 -14.709 -14.984 -15.306 -15.462 -15.632
0.0152 0.01508 8.04003 5.1180562973 2.6146605015    4.779  4.624  3.4674 -0.685    8  0.883  0.376  1519.83   438.82   266.36   205.63   170.41  2 -8.12e-05      2.87 6.163e-01 3.684e-01 1.515e-03 3.440e-03 5.371e-03 -1.000 1.536e-02 -6.791 -12.122 -12.687 -14.027 -14.382 -14.555 -14.775 -15.051 -15.183 -15.342
0.0152 0.01508 8.04003 5.1180577278 2.6146605015    4.778  4.570  3.4748 -0.602    8  0.883  0.376  1209.41   377.48   230.68   177.69   147.21  2 -4.64e-05      1.60 6.163e-01 3.684e-01 1.514e-03 3.442e-03 5.371e-03 -1.000 1.536e-02 -6.656 -11.619 -12.140 -13.700 -14.079 -14.162 -14.285 -14.486 -14.574 -14.716
0.0152 0.01508 8.04003 5.1180605888 2.6146605015    4.776  4.491  3.4857 -0.479    8  0.883  0.375   869.38   302.01   186.42   143.13   118.51  2 -2.02e-05      0.66 6.163e-01 3.684e-01 1.511e-03 3.446e-03 5.370e-03 -1.000 1.536e-02 -6.457 -10.853 -11.289 -12.965 -13.363 -13.354 -13.377 -13.513 -13.557 -13.688
0.0152 0.01508 8.04003 5.1180648804 2.6146605015    4.773  4.379  3.5010 -0.306    8  0.883  0.374   557.22   221.13   138.42   105.79    87.53  2 -6.34e-06      0.23 6.163e-01 3.684e-01 1.505e-03 3.453e-03 5.370e-03 -1.000 1.536e-02 -6.178 -10.038 -10.355 -11.865 -12.254 -12.198 -12.171 -12.268 -12.289 -12.417
0.0152 0.01508 8.04003 5.1180715561 2.6146607399    4.768  4.416  3.4959 -0.364    8  0.883  0.372   644.62   245.23   152.79   116.96    96.79  2 -9.31e-06      0.29 6.163e-01 3.684e-01 1.497e-03 3.464e-03 5.370e-03 -1.000 1.536e-02 -6.269 -10.233 -10.571 -12.114 -12.504 -12.454 -12.432 -12.536 -12.560 -12.688
0.0152 0.01508 8.04003 5.1180806160 2.6146607399    4.761  4.441  3.4922 -0.405    8  0.883  0.369   716.56   264.10   164.00   125.68   104.02  2 -1.22e-05      0.39 6.162e-01 3.684e-01 1.486e-03 3.478e-03 5.370e-03 -1.000 1.537e-02 -6.334 -10.443 -10.818 -12.430 -12.825 -12.785 -12.775 -12.888 -12.917 -13.046
0.0152 0.01508 8.04003 5.1180930138 2.6146607399    4.752  4.456  3.4900 -0.429    8  0.884  0.365   761.89   275.58   170.79   130.97   108.41  2 -1.43e-05      0.44 6.162e-01 3.684e-01 1.471e-03 3.497e-03 5.369e-03 -1.000 1.537e-02 -6.369 -10.558 -10.954 -12.606 -13.005 -12.972 -12.968 -13.086 -13.119 -13.247
0.0152 0.01508 8.04003 5.1181087494 2.6146607399    4.740  4.463  3.4888 -0.442    8  0.884  0.360   789.14   282.30   174.76   134.08   110.99  2 -1.56e-05      0.48 6.162e-01 3.684e-01 1.451e-03 3.522e-03 5.369e-03 -1.000 1.537e-02 -6.388 -10.621 -11.028 -12.705 -13.105 -13.076 -13.076 -13.197 -13.232 -13.360
