# DEJ2000 AGC Flag ObjID RAJ2000 RVel Dist e_Dist gext iext b/a e_b/a imag e_imag Dprop Sloan Ag Ai iMAG e_iMAG g-i e_g-i logMsT e_logMsT logMsM e_logMsM logMsG e_logMsG logSFR22 e_logSFR22 logSFRN e_logSFRN logSFRG e_logSFRG logMHI e_logMHI WRAPPED_RA WRAPPED_DE px py pz size
16.65444 716679 1 1237667107962290358 123.916250 13301 193.4 2.2 0.12 0.06 0.24 0.01 17.07 0.01 Dprop Sloan 0.55 0.36 -19.65 0.19 0.57 0.27 9.41 0.20 9.68 0.01 "" "" -0.65 0.20 "" "" "" "" 10.08 0.05 2.162747 0.29067 -103.4 153.8 55.4 1
16.65583 105058 1 1237678600233877637 5.711670 5314 74.8 2.3 0.16 0.08 0.46 0.01 15.73 0.01 Dprop Sloan 0.44 0.26 -18.81 0.12 0.39 0.15 8.95 0.11 9.22 0.03 "" "" -0.84 0.08 "" "" "" "" 8.96 0.06 0.099687 0.29070 71.3 7.1 21.4 1
16.65639 212580 1 1237668495242952834 171.053740 9152 135.6 2.4 0.08 0.04 0.48 0.01 15.35 0.01 Dprop Sloan 0.83 0.50 -20.51 0.10 1.03 0.14 10.08 0.11 10.78 0.02 10.23 0.06 0.87 0.02 0.76 0.05 0.37 0.10 9.69 0.06 2.985451 0.29071 -128.3 20.2 38.9 1
16.65750 742832 1 1237668589728694380 198.416660 6575 98.1 2.3 0.08 0.04 0.37 0.01 16.45 0.01 Dprop Sloan 0.34 0.23 -18.65 0.14 0.55 0.19 9.00 0.14 9.25 0.02 9.16 0.05 -1.46 0.26 -0.90 0.05 -0.83 0.08 9.41 0.06 -2.820161 0.29073 -89.2 -29.7 28.1 1
16.65778 746146 1 1237667734526099734 226.547930 14088 203.7 2.3 0.09 0.05 0.45 0.01 14.85 0.01 Dprop Sloan 1.31 0.71 -21.98 0.11 1.00 0.15 10.64 0.11 10.80 0.01 10.91 0.02 -0.09 0.05 -0.01 0.05 0.03 0.08 10.13 0.06 -2.329178 0.29073 -134.2 -141.7 58.4 1
16.66278 241162 1 1237668298218733765 220.167510 9117 133.1 2.3 0.10 0.05 0.71 0.01 15.26 0.01 Dprop Sloan 0.82 0.51 -20.49 0.06 1.07 0.07 10.10 0.05 10.14 0.02 "" "" "" "" "" "" "" "" 9.69 0.06 -2.440537 0.29082 -97.4 -82.2 38.2 1
16.66417 719588 1 1237668494708965469 177.900010 4049 60.2 2.3 0.13 0.07 0.93 0.01 15.87 0.01 Dprop Sloan 0.25 0.16 -18.10 0.09 0.30 0.03 8.60 0.04 9.01 0.03 8.57 0.03 -1.12 0.07 -0.60 0.04 -0.86 0.02 8.53 0.08 3.104941 0.29084 -57.6 2.1 17.3 1
16.66444 745194 1 1237668298218930422 220.601240 16066 232.4 2.3 0.08 0.04 0.54 0.01 16.16 0.01 Dprop Sloan 1.10 0.56 -20.86 0.08 0.57 0.12 9.89 0.09 10.21 0.01 "" "" -0.36 0.11 "" "" "" "" 10.10 0.06 -2.432967 0.29085 -169.0 -144.9 66.6 1
16.66611 719085 1 1237668496312434828 160.794160 5834 88.1 2.2 0.08 0.04 0.22 0.01 16.53 0.01 Dprop Sloan 0.23 0.19 -18.37 0.21 0.58 0.28 8.90 0.21 9.14 0.02 8.94 0.05 "" "" "" "" -1.00 0.09 9.07 0.07 2.806388 0.29088 -79.7 27.8 25.3 1
16.66694 116047 1 1237678600775008497 15.855830 11992 166.7 2.3 0.16 0.08 0.95 0.02 16.36 0.01 Dprop Sloan 0.81 0.42 -19.84 0.04 0.64 0.03 9.54 0.03 9.83 0.01 "" "" -0.57 0.11 "" "" "" "" 9.76 0.06 0.276736 0.29089 153.6 43.6 47.8 1
